pressure_level,latitude,longitude,valid_time,number,cc,r,crwc,t,u,v
1000.0,13.8,-75.5,2020-11-07,0,,,,,,
1000.0,13.8,-75.5,2020-11-08,0,0.0,73.29902,2.4300357e-07,27.527468,2.2765832,3.8588881
1000.0,13.8,-75.5,2020-11-09,0,,,,,,
1000.0,13.8,-75.5,2020-11-10,0,0.0,79.88249,6.96898e-08,26.613626,-0.8786571,-0.5854708
1000.0,13.8,-75.5,2020-11-11,0,,,,,,
1000.0,13.8,-75.5,2020-11-12,0,0.0,81.400764,1.9302674e-06,26.49337,0.55411524,-2.2421694
1000.0,13.8,-75.5,2020-11-13,0,,,,,,
1000.0,13.8,-75.5,2020-11-14,0,0.0,85.8354,3.549187e-05,25.533602,-9.202338,1.6327776
1000.0,13.8,-75.5,2020-11-15,0,,,,,,
1000.0,13.8,-75.5,2020-11-16,0,0.0,84.02916,4.931586e-06,25.91317,-8.608337,3.2380414
1000.0,13.8,-75.5,2020-11-17,0,0.0,84.48949,1.875455e-05,25.411661,-7.034001,-0.42692742
1000.0,13.8,-75.5,2020-11-18,0,,,,,,
1000.0,13.8,-75.5,2020-11-19,0,0.0,81.691666,1.4254699e-06,26.153881,-5.603864,-0.3470096
1000.0,13.8,-75.5,2020-11-20,0,,,,,,
1000.0,13.8,-75.5,2020-11-21,0,0.0,75.521034,5.148938e-07,27.473543,-10.345784,-0.24700172
1000.0,13.8,-75.5,2020-11-22,0,,,,,,
1000.0,13.8,-75.5,2020-11-23,0,0.0,77.7104,7.5055766e-07,27.302565,-7.4133835,-0.063112885
1000.0,13.8,-75.5,2020-11-24,0,,,,,,
1000.0,13.8,-75.5,2020-11-25,0,0.0,80.63891,1.4488455e-06,26.74226,-11.159129,-2.9960046
1000.0,13.8,-75.5,2020-11-26,0,,,,,,
1000.0,13.8,-75.5,2020-11-27,0,0.0,78.08123,1.0077752e-06,26.40898,-9.955571,-2.6250925
1000.0,13.8,-75.5,2020-11-28,0,,,,,,
1000.0,13.8,-75.5,2020-11-29,0,0.0,74.651405,9.701631e-07,26.686632,-10.696888,-2.977963
1000.0,13.8,-75.5,2020-11-30,0,,,,,,
1000.0,13.8,-75.5,2020-12-01,0,0.0,77.2091,1.0027385e-06,27.118984,-9.541947,-3.197898
1000.0,13.8,-75.5,2020-12-02,0,0.0,82.7234,4.7926596e-06,26.475542,-9.468514,-2.4233496
1000.0,13.8,-75.5,2020-12-03,0,,,,,,
1000.0,13.8,-75.5,2020-12-04,0,0.0,71.25005,6.143931e-08,26.487904,-11.984933,-1.285951
1000.0,13.8,-75.5,2020-12-05,0,,,,,,
1000.0,13.8,-75.5,2020-12-06,0,0.0,75.00052,1.4190526e-06,26.339897,-9.683875,-2.3016696
1000.0,13.8,-75.5,2020-12-07,0,,,,,,
