valid_time,pressure_level,latitude,longitude,number,cc,r,crwc,t,u,v
2023-01-10,1000.0,13.05,-75.0,0.0,0.0,82.86669397142857,3.559838722e-07,25.103184342857144,-7.812374642857143,-2.7215114742857143
2023-01-11,1000.0,13.05,-75.0,0.0,0.0,82.86669397142857,3.559838722e-07,25.103184342857144,-7.812374642857143,-2.7215114742857143
2023-01-12,1000.0,13.05,-75.0,0.0,0.0,81.29421117142857,6.954740037142857e-08,25.172086685714287,-10.287143114285714,-3.741278825714286
2023-01-13,1000.0,13.05,-75.0,0.0,0.0,81.29421117142857,6.954740037142857e-08,25.172086685714287,-10.287143114285714,-3.741278825714286
2023-01-14,1000.0,13.05,-75.0,0.0,0.0,81.80775131428571,2.1580843282857144e-07,25.1803638,-6.298557051428571,-3.36084452
2023-01-15,1000.0,13.05,-75.0,0.0,0.0,81.80775131428571,2.1580843282857144e-07,25.1803638,-6.298557051428571,-3.36084452
2023-01-16,1000.0,13.05,-75.0,0.0,0.0,80.29416982857143,7.293452177142857e-07,24.53147937142857,-7.437788165714286,-3.574321665714286
2023-01-17,1000.0,13.05,-75.0,0.0,0.0,83.25275891428572,9.644550353142857e-07,24.56957657142857,-10.734474228571429,-1.99280062
2023-01-18,1000.0,13.05,-75.0,0.0,0.0,83.25275891428572,9.644550353142857e-07,24.56957657142857,-10.734474228571429,-1.99280062
2023-01-19,1000.0,13.05,-75.0,0.0,0.0,82.70926968571429,9.070373579999999e-07,24.949554199999998,-13.228550785714285,-1.98039966
2023-01-20,1000.0,13.05,-75.0,0.0,0.0,82.70926968571429,9.070373579999999e-07,24.949554199999998,-13.228550785714285,-1.98039966
2023-01-21,1000.0,13.05,-75.0,0.0,0.0,77.28380511428571,2.354188045714286e-07,24.994967371428572,-13.80138142857143,-2.86163154
2023-01-22,1000.0,13.05,-75.0,0.0,0.0,77.28380511428571,2.354188045714286e-07,24.994967371428572,-13.80138142857143,-2.86163154
2023-01-23,1000.0,13.05,-75.0,0.0,0.0,78.08896011428571,4.789212600914287e-07,25.421064485714286,-15.697399771428572,-1.2242075688571428
2023-01-24,1000.0,13.05,-75.0,0.0,0.0,78.08896011428571,4.789212600914287e-07,25.421064485714286,-15.697399771428572,-1.2242075688571428
2023-01-25,1000.0,13.05,-75.0,0.0,0.0,82.50008088571428,2.488989185714286e-09,24.885924885714285,-15.383245428571428,-1.469079850857143
2023-01-26,1000.0,13.05,-75.0,0.0,0.0,82.50008088571428,2.488989185714286e-09,24.885924885714285,-15.383245428571428,-1.469079850857143
2023-01-27,1000.0,13.05,-75.0,0.0,0.0,77.64265797142858,3.8964348574285714e-07,24.672951314285715,-14.250308685714286,-4.58138508
2023-01-28,1000.0,13.05,-75.0,0.0,0.0,77.64265797142858,3.8964348574285714e-07,24.672951314285715,-14.250308685714286,-4.58138508
2023-01-29,1000.0,13.05,-75.0,0.0,0.0,75.98326134285715,1.8856699445142857e-07,24.45433231428571,-14.273596057142857,-2.8209302885714287
2023-01-30,1000.0,13.05,-75.0,0.0,0.0,75.98326134285715,1.8856699445142857e-07,24.45433231428571,-14.273596057142857,-2.8209302885714287
2023-01-31,1000.0,13.05,-75.0,0.0,0.0,82.77114262857143,7.846708111428572e-07,24.0501218,-12.862870385714286,-2.7949131057142855
2023-02-01,1000.0,13.05,-75.0,0.0,0.0,83.04874831428572,8.301273782857143e-07,24.02408834285714,-13.762398242857143,-4.051610008571428
2023-02-02,1000.0,13.05,-75.0,0.0,0.0,79.72062005714285,1.0366777485714287e-06,24.142157485714286,-14.827860257142856,-3.8341524914285716
2023-02-03,1000.0,13.05,-75.0,0.0,0.0,79.72062005714285,1.0366777485714287e-06,24.142157485714286,-14.827860257142856,-3.8341524914285716
2023-02-04,1000.0,13.05,-75.0,0.0,0.0,76.88304754285714,2.4106459601714285e-07,24.324575857142857,-13.0470021,-3.2767047828571427
2023-02-05,1000.0,13.05,-75.0,0.0,0.0,76.88304754285714,2.4106459601714285e-07,24.324575857142857,-13.0470021,-3.2767047828571427
2023-02-06,1000.0,13.05,-75.0,0.0,0.0,80.24952628571428,1.568068680057143e-08,25.048322114285714,-15.220967542857144,-3.509675594285714
2023-02-07,1000.0,13.05,-75.0,0.0,0.0,80.24952628571428,1.568068680057143e-08,25.048322114285714,-15.220967542857144,-3.509675594285714
2023-02-08,1000.0,13.05,-75.0,0.0,0.0,80.60805754285714,2.6550911182857144e-07,24.636271085714288,-14.694916442857142,-3.23934358
2023-02-09,1000.0,13.05,-75.0,0.0,0.0,80.60805754285714,2.6550911182857144e-07,24.636271085714288,-14.694916442857142,-3.23934358
2023-02-10,1000.0,13.05,-75.0,0.0,0.0,81.97934951428572,5.124036085714286e-07,24.57080182857143,-14.87509622857143,-2.4892527657142858
2023-02-11,1000.0,13.05,-75.0,0.0,0.0,81.97934951428572,5.124036085714286e-07,24.57080182857143,-14.87509622857143,-2.4892527657142858
2023-02-12,1000.0,13.05,-75.0,0.0,0.0,81.33291045714286,6.153033392285714e-07,24.65893654285714,-14.318022985714286,-3.397257614285714
2023-02-13,1000.0,13.05,-75.0,0.0,0.0,81.33291045714286,6.153033392285714e-07,24.65893654285714,-14.318022985714286,-3.397257614285714
2023-02-14,1000.0,13.05,-75.0,0.0,0.0,80.63280151428572,7.140771551428572e-07,24.575114314285713,-11.684107657142857,-3.9550925914285715
2023-02-15,1000.0,13.05,-75.0,0.0,0.0,80.63280151428572,7.140771551428572e-07,24.575114314285713,-11.684107657142857,-3.9550925914285715
2023-02-16,1000.0,13.05,-75.0,0.0,0.0,77.98466008571428,1.1423063081714284e-07,24.4571686,-15.411846885714285,-3.256116105714286
2023-02-17,1000.0,13.05,-75.0,0.0,0.0,78.85502925714286,9.903515353714287e-09,24.385031542857142,-14.950299214285714,-1.6508281585714286
2023-02-18,1000.0,13.05,-75.0,0.0,0.0,78.85502925714286,9.903515353714287e-09,24.385031542857142,-14.950299214285714,-1.6508281585714286
2023-02-19,1000.0,13.05,-75.0,0.0,0.0,81.78002997142858,8.913314259999999e-07,24.077004000000002,-13.782571485714286,-4.846157294285714
2023-02-20,1000.0,13.05,-75.0,0.0,0.0,81.78002997142858,8.913314259999999e-07,24.077004000000002,-13.782571485714286,-4.846157294285714
2023-02-21,1000.0,13.05,-75.0,0.0,0.0,70.9315124,2.017384703142857e-09,24.08238025714286,-13.945924814285714,-1.3469002988285714
2023-02-22,1000.0,13.05,-75.0,0.0,0.0,70.9315124,2.017384703142857e-09,24.08238025714286,-13.945924814285714,-1.3469002988285714
2023-02-23,1000.0,13.05,-75.0,0.0,0.0,81.48298434285715,1.2936219232285714e-07,23.967966999999998,-15.264334357142856,-2.9764506285714285
2023-02-24,1000.0,13.05,-75.0,0.0,0.0,81.48298434285715,1.2936219232285714e-07,23.967966999999998,-15.264334357142856,-2.9764506285714285
2023-02-25,1000.0,13.05,-75.0,0.0,0.0,81.58961234285714,6.638165318857143e-07,23.764251828571428,-14.208290914285715,-3.7508886971428574
2023-02-26,1000.0,13.05,-75.0,0.0,0.0,81.58961234285714,6.638165318857143e-07,23.764251828571428,-14.208290914285715,-3.7508886971428574
2023-02-27,1000.0,13.05,-75.0,0.0,0.0,76.33862688571428,5.148259715714285e-09,24.166554085714285,-11.8628064,-3.1340898142857143
2023-02-28,1000.0,13.05,-75.0,0.0,0.0,76.33862688571428,5.148259715714285e-09,24.166554085714285,-11.8628064,-3.1340898142857143
2023-03-01,1000.0,13.05,-75.0,0.0,0.0,79.31568497142857,2.019485008e-07,24.423986457142856,-12.786109057142857,-3.383965222857143
2023-03-02,1000.0,13.05,-75.0,0.0,0.0,79.46551845714286,1.7321993777142858e-07,24.43976662857143,-14.628269114285715,-2.323608731428571
2023-03-03,1000.0,13.05,-75.0,0.0,0.0,79.46551845714286,1.7321993777142858e-07,24.43976662857143,-14.628269114285715,-2.323608731428571
2023-03-04,1000.0,13.05,-75.0,0.0,0.0,81.9538677142857,2.633072864342857e-08,24.740930657142858,-14.0042697,-1.8037017674285716
2023-03-05,1000.0,13.05,-75.0,0.0,0.0,81.9538677142857,2.633072864342857e-08,24.740930657142858,-14.0042697,-1.8037017674285716
2023-03-06,1000.0,13.05,-75.0,0.0,0.0,84.39054874285715,2.1857161687428572e-07,24.476735857142856,-11.826582,-3.3228809885714288
2023-03-07,1000.0,13.05,-75.0,0.0,0.0,84.39054874285715,2.1857161687428572e-07,24.476735857142856,-11.826582,-3.3228809885714288
2023-03-08,1000.0,13.05,-75.0,0.0,0.0,74.11029088571429,3.784564985142857e-08,24.327135485714287,-7.889604428571429,-3.971731434285714
